"subjects" "activity_names" "tBodyAcc.mean...X-mean" "tBodyAcc.mean...Y-mean" "tBodyAcc.mean...Z-mean" "tBodyAcc.std...X-mean" "tBodyAcc.std...Y-mean" "tBodyAcc.std...Z-mean" "tGravityAcc.mean...X-mean" "tGravityAcc.mean...Y-mean" "tGravityAcc.mean...Z-mean" "tGravityAcc.std...X-mean" "tGravityAcc.std...Y-mean" "tGravityAcc.std...Z-mean" "tBodyAccJerk.mean...X-mean" "tBodyAccJerk.mean...Y-mean" "tBodyAccJerk.mean...Z-mean" "tBodyAccJerk.std...X-mean" "tBodyAccJerk.std...Y-mean" "tBodyAccJerk.std...Z-mean" "tBodyGyro.mean...X-mean" "tBodyGyro.mean...Y-mean" "tBodyGyro.mean...Z-mean" "tBodyGyro.std...X-mean" "tBodyGyro.std...Y-mean" "tBodyGyro.std...Z-mean" "tBodyGyroJerk.mean...X-mean" "tBodyGyroJerk.mean...Y-mean" "tBodyGyroJerk.mean...Z-mean" "tBodyGyroJerk.std...X-mean" "tBodyGyroJerk.std...Y-mean" "tBodyGyroJerk.std...Z-mean" "tBodyAccMag.mean..-mean" "tBodyAccMag.std..-mean" "tGravityAccMag.mean..-mean" "tGravityAccMag.std..-mean" "tBodyAccJerkMag.mean..-mean" "tBodyAccJerkMag.std..-mean" "tBodyGyroMag.mean..-mean" "tBodyGyroMag.std..-mean" "tBodyGyroJerkMag.mean..-mean" "tBodyGyroJerkMag.std..-mean" "fBodyAcc.mean...X-mean" "fBodyAcc.mean...Y-mean" "fBodyAcc.mean...Z-mean" "fBodyAcc.std...X-mean" "fBodyAcc.std...Y-mean" "fBodyAcc.std...Z-mean" "fBodyAccJerk.mean...X-mean" "fBodyAccJerk.mean...Y-mean" "fBodyAccJerk.mean...Z-mean" "fBodyAccJerk.std...X-mean" "fBodyAccJerk.std...Y-mean" "fBodyAccJerk.std...Z-mean" "fBodyGyro.mean...X-mean" "fBodyGyro.mean...Y-mean" "fBodyGyro.mean...Z-mean" "fBodyGyro.std...X-mean" "fBodyGyro.std...Y-mean" "fBodyGyro.std...Z-mean" "fBodyAccMag.mean..-mean" "fBodyAccMag.std..-mean" "fBodyBodyAccJerkMag.mean..-mean" "fBodyBodyAccJerkMag.std..-mean" "fBodyBodyGyroMag.mean..-mean" "fBodyBodyGyroMag.std..-mean" "fBodyBodyGyroJerkMag.mean..-mean" "fBodyBodyGyroJerkMag.std..-mean"
"1" "SITTING" 0.273351066859949 -0.0180267636576268 -0.111822713053585 -0.585304339553578 -0.48981926141117 -0.638164369619556 0.623854937778822 0.0290236033261315 0.0864688437082323 -0.966516224192998 -0.957752054090521 -0.9444769458924 0.077019421583591 0.00859016696195945 -0.00118658333588215 -0.608909948324927 -0.579780074025781 -0.753616996270453 -0.0397807044441899 -0.0676963159933886 0.0875453004375576 -0.69574715284193 -0.681129682796507 -0.668920954778309 -0.0927942591574722 -0.0410102169175918 -0.0548209022905465 -0.693531825592997 -0.758227889567549 -0.73018906470655 -0.532918389653655 -0.593992282410051 -0.532918389653655 -0.593992282410051 -0.618593927013664 -0.611707132495448 -0.594846691681597 -0.658540356015491 -0.73244825296567 -0.750829589641161 -0.605390938660325 -0.516705370253143 -0.671868317335226 -0.578911660655508 -0.509154752009522 -0.650378036799872 -0.635421086830709 -0.60861524322895 -0.736225718431426 -0.616955820898132 -0.576949799626934 -0.769743216549607 -0.634036787046541 -0.687097250091802 -0.645074498205483 -0.716850319294927 -0.682038723380273 -0.709147432372331 -0.578211508010137 -0.668020935490179 -0.603219114216413 -0.626704693511452 -0.680435773344407 -0.705404456110589 -0.750922251268916 -0.769378316606746
"1" "STANDING" 0.276177377784431 -0.0172818741561907 -0.107940757511976 -0.667932305209581 -0.599095553763473 -0.679216670329341 0.694792777095808 -0.00103018432634731 0.0910314168113772 -0.978742766586826 -0.968999955598802 -0.958147490299401 0.0776448301356287 0.0129534445262126 0.000886467423302994 -0.711725557065868 -0.711788469131737 -0.834520665329341 -0.038430136020509 -0.0672248771926647 0.0913241464640719 -0.791426443721557 -0.759370761556886 -0.72614680991018 -0.0940621740320958 -0.0445622527458084 -0.0571652014122156 -0.830920002934132 -0.874371824640719 -0.825666964760479 -0.630947459700599 -0.665011683643713 -0.630947459700599 -0.665011683643713 -0.73320719751497 -0.723788786335329 -0.693434577904192 -0.760315278287425 -0.84851863011976 -0.879781879790419 -0.689453051047904 -0.637957449640719 -0.742231387634731 -0.660489537904192 -0.605510423961078 -0.672541676278443 -0.728496455928144 -0.723907683083832 -0.819222532994012 -0.720203372035928 -0.718398453652695 -0.848506493113772 -0.772855463736527 -0.801441592754491 -0.737016020538922 -0.799760555973054 -0.74032145739521 -0.748592744401198 -0.673154380637725 -0.713137798532934 -0.720747618404192 -0.729163423712575 -0.802962549161677 -0.775670438287425 -0.875441210479042 -0.894709025422156
"1" "WALKING" 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.9598594359366 -0.951150627458213 -0.925817590867435 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.453632943768818 -0.497096402038329 -0.453632943768818 -0.497096402038329 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910663 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.543979776127868 -0.466251676533372 -0.737861932680115 -0.623219182311527 -0.505309434070029 -0.553529065425649 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.478448523354179 -0.589710231217867 -0.499075765624092 -0.541823079570029 -0.535002770337752 -0.566576670397695 -0.645970655298847 -0.685811262634006
"1" "WALKING_DOWNSTAIRS" 0.275344648755334 -0.016884987931676 -0.107857093839687 -0.578548706472546 -0.492466712493748 -0.546910848089417 0.703328505932432 -0.0579157762871266 -0.0175537960271358 -0.96248209874111 -0.955144462514936 -0.936175411538407 0.0774911457549573 0.00721830409070128 -0.00556340093447368 -0.616153982705164 -0.603247105743613 -0.740015856157952 -0.019327596926138 -0.080630767934106 0.0800080667725818 -0.717645709958464 -0.631900367884388 -0.593747114216785 -0.100950169470332 -0.0429324980909097 -0.0534989950886415 -0.760855134516359 -0.793046820926031 -0.732885996480654 -0.512403743322696 -0.547365222785502 -0.512403743322696 -0.547365222785502 -0.629765032203655 -0.604535249426878 -0.563594446364004 -0.635280755114666 -0.769791287626671 -0.796005589275249 -0.593868395956543 -0.522297511434331 -0.614599519487141 -0.573760267719865 -0.510989788009723 -0.548837123231287 -0.632844198156394 -0.617848778833912 -0.71404657411579 -0.633433181778051 -0.614894300110477 -0.765054834199929 -0.683505867311671 -0.681133113738158 -0.605388125607681 -0.730597245894737 -0.609962012738101 -0.629172591039403 -0.546989672926351 -0.619410825816856 -0.595689308165718 -0.619483069316124 -0.684974286908464 -0.66694150500165 -0.79312260048532 -0.815006035520626
"1" "WALKING_UPSTAIRS" 0.276595558397802 -0.0177132365601978 -0.108210152603385 -0.707590120293187 -0.627031474679121 -0.754166597287912 0.688205152147253 0.0832263497843956 0.139834853378022 -0.972897499868132 -0.959174575010989 -0.958361026153846 0.0812964170123297 0.00649277561341099 -0.00570661591026593 -0.757924225616264 -0.719691999282418 -0.885325216637363 -0.0465297080061758 -0.0641804704101978 0.0905206715618121 -0.810919487592747 -0.784436705384615 -0.797714849296703 -0.0863849344637363 -0.0466044961582418 -0.0502820973715165 -0.84233348010989 -0.90339792610989 -0.853350899802198 -0.669574012415604 -0.713927478677802 -0.669574012415604 -0.713927478677802 -0.771844270432967 -0.759721214301099 -0.725657307158242 -0.773225229254286 -0.875143863164835 -0.901400876747253 -0.728610655913407 -0.659252556504088 -0.816241432373626 -0.700717676770989 -0.634836972404176 -0.744139683209451 -0.770018708713407 -0.736197505185714 -0.872602040285714 -0.767332366271429 -0.720689926145714 -0.896819038571429 -0.788858182810989 -0.83607378167033 -0.786686274263736 -0.819578782736264 -0.761505069976044 -0.820162040263736 -0.716542663467033 -0.757570458235165 -0.753993855922637 -0.768365167298901 -0.81912485167033 -0.783744613823297 -0.900252624659341 -0.909969283340659
"2" "LAYING" 0.276812933820628 -0.0178547847303094 -0.108905993313901 -0.614597019512364 -0.543588253274702 -0.636861763248367 0.64356576166624 0.0118674045122357 0.0833937212155221 -0.972098176438181 -0.962335695592569 -0.949247373997438 0.0784533338174504 0.00705040472337988 -0.00360258574250609 -0.662452257970679 -0.622838723784516 -0.763753120340167 -0.0385066547041992 -0.0674597054303261 0.0958419939605702 -0.740062302040038 -0.700145839032985 -0.653660944425689 -0.0942552635190884 -0.0436218830372005 -0.0567236121116528 -0.738580096944843 -0.799863925523382 -0.745217922888661 -0.570098193667377 -0.60855918959007 -0.570098193667377 -0.60855918959007 -0.665326571503587 -0.645486078624811 -0.620338677366957 -0.68465727424574 -0.774173615675208 -0.792168405531903 -0.63227756359688 -0.560116284133274 -0.675636476931006 -0.608928685856451 -0.565098865853113 -0.64644072010647 -0.675432705903459 -0.641928729380205 -0.744401395765535 -0.67975555000852 -0.628211578069635 -0.781947753279949 -0.686251978456695 -0.72389342576214 -0.653322981973863 -0.758619297217489 -0.691859100846829 -0.687246318404612 -0.604755164663754 -0.672438676537092 -0.639934975120801 -0.655457646177841 -0.718767381606342 -0.718386548577662 -0.794703767579116 -0.803906318328187
"2" "SITTING" 0.27804647810363 -0.0174037156201535 -0.108706753126403 -0.659006012209901 -0.574663589256997 -0.685809302533168 0.655403780719472 -0.0428552602722772 0.0989863203865842 -0.967318248382838 -0.967872114483498 -0.950527032229373 0.083036150640264 0.00855114323664389 -0.00833358284422442 -0.688290842971551 -0.659882293548503 -0.791555907698119 -0.0226184651030132 -0.0825613100662211 0.0856300140739274 -0.778854888192079 -0.788337353069307 -0.707842362890792 -0.102351248484818 -0.0396474458365083 -0.0537050890065842 -0.782159199706271 -0.842876898976898 -0.805131572112211 -0.612954600020165 -0.664944190643894 -0.612954600020165 -0.664944190643894 -0.698178717975578 -0.67740655915571 -0.697215435645215 -0.751867094400165 -0.817926914983498 -0.836695252788779 -0.686683361687459 -0.597826033060396 -0.721795011357921 -0.649668963112211 -0.589973283781188 -0.691502051363366 -0.704545233563696 -0.672169937728383 -0.776556877994389 -0.69971028644901 -0.670499595138482 -0.805321131400726 -0.735053306689769 -0.787024167991749 -0.710526388575908 -0.793765150747525 -0.791685594933993 -0.73516871714538 -0.658447285951155 -0.721629701988614 -0.675725990503663 -0.682719832047855 -0.778079208960396 -0.778439629709571 -0.839057513811881 -0.846514764620462
"2" "STANDING" 0.272854952887723 -0.0182427811245865 -0.108989962868263 -0.652134822990096 -0.541563857055051 -0.621555524340267 0.646333925483461 0.0409194179851145 0.175607320054265 -0.959787003956743 -0.943823976197901 -0.927566098082061 0.0796830114331489 0.0103122839474777 -0.00659672725682125 -0.689495903499682 -0.661627788997392 -0.757891847930414 -0.0160831253646247 -0.0836773995481234 0.0867144547121692 -0.734679088977672 -0.698337676358906 -0.678524537023219 -0.101445589403798 -0.0409472013750064 -0.0577841051600496 -0.74566554644771 -0.774494188222328 -0.77576802727799 -0.575569429416603 -0.622392087100318 -0.575569429416603 -0.622392087100318 -0.686500996264568 -0.668048070299714 -0.627470616308982 -0.667013758350814 -0.765667566778944 -0.765473854224707 -0.666071077880662 -0.57770355725229 -0.666121376175509 -0.648235250115471 -0.553552637045413 -0.62936709570119 -0.701606863417448 -0.67751679660299 -0.742313209407506 -0.705293860498251 -0.667984167484817 -0.772606364216158 -0.687282433365331 -0.71376143026035 -0.676536445648283 -0.751364558172392 -0.693774788421883 -0.709485707769593 -0.622497901126145 -0.683679242122392 -0.663373071570891 -0.676950764068702 -0.696189095328003 -0.707899163036132 -0.771949159267697 -0.77456039685159
"2" "WALKING" 0.27311311578808 -0.0191323183174834 -0.115649958175497 -0.605586497159272 -0.428962986589404 -0.589360062210596 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285 0.0785353156747351 0.00708771249764901 0.000755760748377484 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.587777445435431 -0.512115278415232 -0.614771054893146 -0.680584887880795 -0.746559539039735 -0.740088733655629 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.561682049622185 -0.50890379901457 -0.715745330403974 -0.595105612895033 -0.509147543673841 -0.767087015496689 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.72716774102649 -0.683114494539735 -0.514569861316887 -0.646662308457285 -0.509746432970861 -0.518800797709272 -0.699742945221854 -0.725310337688742 -0.751615078360927 -0.744194981440397
"3" "LAYING" 0.276305836721932 -0.0175856077340209 -0.10589355727859 -0.615890785389034 -0.519047387875457 -0.522643273772115 0.696858200678851 0.0512698188974987 0.184343178348037 -0.974319118563969 -0.952288292767624 -0.92943263464752 0.0734799270148825 0.00730438257971279 -0.000653871890373368 -0.679007254150131 -0.6607705539047 -0.781644485013055 -0.0354229280326632 -0.0717482452402089 0.0834544586693995 -0.671005846122715 -0.538990663942298 -0.589783442185379 -0.0926769005274151 -0.0412903779669452 -0.0493556177875196 -0.780636429556136 -0.79894807305483 -0.76322854691906 -0.538131194183003 -0.588158111633681 -0.538131194183003 -0.588158111633681 -0.697050126998956 -0.658972148093473 -0.510032754098198 -0.573779428671018 -0.785870931331593 -0.810398514673629 -0.635650125322193 -0.55849001001906 -0.634958546900783 -0.609238911508407 -0.531321491840992 -0.506570361273995 -0.685307771157441 -0.671673670524282 -0.755432212793734 -0.701879208571802 -0.672622022924282 -0.807184940939948 -0.667418236692689 -0.629910665959817 -0.615699347830287 -0.676801995680601 -0.496310421449608 -0.620253390415144 -0.600372067046214 -0.646522810920757 -0.656339723754047 -0.664600262443812 -0.669600510563003 -0.589192650089817 -0.811292332428198 -0.822805618746736
